#wave   A_Rv2.0   A_Rv3.1   A_Rv5.5 An_Rv2.0 An_Rv3.1 An_Rv5.5
 3500 3.908e-01 4.934e-01 7.172e-01    3.938    2.664    1.924
 3505 3.903e-01 4.930e-01 7.172e-01    3.932    2.662    1.924
 3510 3.898e-01 4.926e-01 7.171e-01    3.927    2.660    1.924
 3515 3.892e-01 4.923e-01 7.170e-01    3.922    2.658    1.923
 3520 3.887e-01 4.919e-01 7.169e-01    3.917    2.656    1.923
 3525 3.882e-01 4.915e-01 7.168e-01    3.912    2.654    1.923
 3530 3.877e-01 4.911e-01 7.168e-01    3.907    2.652    1.923
 3535 3.872e-01 4.908e-01 7.167e-01    3.902    2.650    1.922
 3540 3.868e-01 4.904e-01 7.165e-01    3.897    2.648    1.922
 3545 3.863e-01 4.900e-01 7.164e-01    3.892    2.646    1.922
 3550 3.858e-01 4.897e-01 7.163e-01    3.887    2.644    1.921
 3555 3.853e-01 4.893e-01 7.162e-01    3.882    2.642    1.921
 3560 3.849e-01 4.890e-01 7.161e-01    3.878    2.640    1.921
 3565 3.844e-01 4.886e-01 7.160e-01    3.873    2.638    1.921
 3570 3.839e-01 4.882e-01 7.158e-01    3.868    2.636    1.920
 3575 3.835e-01 4.879e-01 7.157e-01    3.864    2.634    1.920
 3580 3.830e-01 4.875e-01 7.156e-01    3.859    2.632    1.919
 3585 3.826e-01 4.872e-01 7.154e-01    3.855    2.630    1.919
 3590 3.821e-01 4.868e-01 7.153e-01    3.850    2.628    1.919
 3595 3.817e-01 4.865e-01 7.151e-01    3.846    2.626    1.918
 3600 3.812e-01 4.861e-01 7.150e-01    3.841    2.625    1.918
 3605 3.808e-01 4.858e-01 7.148e-01    3.837    2.623    1.917
 3610 3.804e-01 4.854e-01 7.146e-01    3.833    2.621    1.917
 3615 3.799e-01 4.851e-01 7.145e-01    3.828    2.619    1.916
 3620 3.795e-01 4.847e-01 7.143e-01    3.824    2.617    1.916
 3625 3.791e-01 4.844e-01 7.141e-01    3.820    2.615    1.916
 3630 3.787e-01 4.840e-01 7.139e-01    3.815    2.613    1.915
 3635 3.782e-01 4.837e-01 7.137e-01    3.811    2.611    1.915
 3640 3.778e-01 4.833e-01 7.135e-01    3.807    2.610    1.914
 3645 3.774e-01 4.830e-01 7.133e-01    3.803    2.608    1.913
 3650 3.770e-01 4.826e-01 7.131e-01    3.798    2.606    1.913
