# lambda albedo      g      Cext         K
   100.0 0.3633 0.9884 2.374e-22 2.665e+04
   100.6 0.3616 0.9883 2.378e-22 2.678e+04
   101.2 0.3598 0.9882 2.382e-22 2.690e+04
   101.7 0.3581 0.9881 2.386e-22 2.702e+04
   102.3 0.3563 0.9879 2.391e-22 2.714e+04
   102.9 0.3545 0.9878 2.395e-22 2.726e+04
   103.5 0.3524 0.9877 2.397e-22 2.738e+04
   104.1 0.3495 0.9877 2.397e-22 2.750e+04
   104.7 0.3464 0.9876 2.397e-22 2.763e+04
   105.3 0.3408 0.9876 2.388e-22 2.776e+04
   105.9 0.3295 0.9879 2.361e-22 2.792e+04
   106.5 0.3281 0.9877 2.367e-22 2.804e+04
   107.2 0.3511 0.9895 2.128e-22 2.435e+04
   107.8 0.3498 0.9894 2.134e-22 2.447e+04
   108.4 0.3621 0.9888 2.182e-22 2.455e+04
   109.0 0.3689 0.9884 2.214e-22 2.464e+04
   109.6 0.3704 0.9882 2.229e-22 2.475e+04
   110.3 0.3718 0.9879 2.244e-22 2.486e+04
   110.9 0.3729 0.9877 2.258e-22 2.497e+04
   111.6 0.3738 0.9875 2.271e-22 2.508e+04
   112.2 0.3746 0.9872 2.284e-22 2.519e+04
   112.8 0.3752 0.9870 2.296e-22 2.531e+04
   113.5 0.3756 0.9868 2.308e-22 2.542e+04
   114.2 0.3759 0.9865 2.319e-22 2.553e+04
   114.8 0.3760 0.9863 2.330e-22 2.564e+04
   115.5 0.3760 0.9861 2.340e-22 2.575e+04
   116.1 0.3759 0.9859 2.350e-22 2.587e+04
   116.8 0.3757 0.9857 2.359e-22 2.598e+04
   117.5 0.3753 0.9855 2.368e-22 2.609e+04
   118.2 0.3748 0.9853 2.377e-22 2.621e+04
   118.9 0.3743 0.9851 2.385e-22 2.632e+04
   119.5 0.3736 0.9849 2.393e-22 2.643e+04
   120.2 0.3728 0.9847 2.400e-22 2.655e+04
   120.9 0.3720 0.9845 2.407e-22 2.666e+04
   121.6 0.3711 0.9843 2.414e-22 2.677e+04
   122.3 0.3701 0.9841 2.420e-22 2.689e+04
   123.0 0.3690 0.9839 2.426e-22 2.700e+04
   123.7 0.3679 0.9837 2.432e-22 2.711e+04
   124.5 0.3667 0.9835 2.438e-22 2.723e+04
   125.2 0.3654 0.9834 2.443e-22 2.734e+04
   125.9 0.3640 0.9832 2.448e-22 2.746e+04
   126.6 0.3626 0.9830 2.453e-22 2.757e+04
   127.4 0.3611 0.9828 2.457e-22 2.769e+04
   128.1 0.3541 0.9830 2.442e-22 2.782e+04
   128.8 0.3641 0.9828 2.433e-22 2.728e+04
   129.6 0.3643 0.9826 2.443e-22 2.739e+04
   130.3 0.3646 0.9823 2.454e-22 2.749e+04
   131.1 0.3642 0.9821 2.462e-22 2.760e+04
   131.8 0.3631 0.9819 2.467e-22 2.771e+04
   132.6 0.3616 0.9817 2.472e-22 2.783e+04
   133.4 0.3598 0.9815 2.475e-22 2.794e+04
   134.1 0.3595 0.9813 2.483e-22 2.804e+04
   134.9 0.3653 0.9815 2.448e-22 2.740e+04
   135.7 0.3660 0.9812 2.460e-22 2.751e+04
   136.5 0.3665 0.9809 2.471e-22 2.761e+04
   137.2 0.3670 0.9806 2.482e-22 2.771e+04
   138.0 0.3671 0.9803 2.492e-22 2.782e+04
   138.8 0.3670 0.9800 2.501e-22 2.792e+04
   139.6 0.3668 0.9797 2.510e-22 2.803e+04
   140.4 0.3665 0.9794 2.518e-22 2.813e+04
   141.3 0.3663 0.9792 2.526e-22 2.824e+04
   142.1 0.3660 0.9789 2.535e-22 2.834e+04
   142.9 0.3656 0.9786 2.543e-22 2.845e+04
   143.7 0.3653 0.9783 2.551e-22 2.856e+04
   144.5 0.3649 0.9780 2.559e-22 2.866e+04
   145.4 0.3645 0.9778 2.567e-22 2.877e+04
   146.2 0.3641 0.9775 2.575e-22 2.888e+04
   147.1 0.3637 0.9772 2.582e-22 2.898e+04
   147.9 0.3632 0.9769 2.590e-22 2.909e+04
   148.8 0.3628 0.9766 2.598e-22 2.919e+04
   149.6 0.3623 0.9763 2.605e-22 2.930e+04
   150.5 0.3619 0.9761 2.613e-22 2.940e+04
   151.4 0.3614 0.9758 2.620e-22 2.951e+04
   152.2 0.3609 0.9755 2.628e-22 2.962e+04
   153.1 0.3604 0.9752 2.635e-22 2.972e+04
   154.0 0.3599 0.9749 2.642e-22 2.983e+04
   154.9 0.3594 0.9746 2.649e-22 2.993e+04
   155.8 0.3589 0.9743 2.657e-22 3.004e+04
   156.7 0.3584 0.9740 2.664e-22 3.014e+04
   157.6 0.3579 0.9737 2.671e-22 3.025e+04
   158.5 0.3574 0.9734 2.678e-22 3.036e+04
   159.4 0.3569 0.9731 2.686e-22 3.046e+04
   160.3 0.3564 0.9727 2.693e-22 3.057e+04
   161.3 0.3558 0.9724 2.700e-22 3.068e+04
   162.2 0.3553 0.9721 2.708e-22 3.079e+04
   163.1 0.3547 0.9718 2.715e-22 3.089e+04
   164.1 0.3542 0.9715 2.722e-22 3.100e+04
   165.0 0.3536 0.9712 2.729e-22 3.111e+04
   166.0 0.3531 0.9708 2.737e-22 3.122e+04
   166.9 0.3526 0.9705 2.744e-22 3.133e+04
   167.9 0.3521 0.9701 2.752e-22 3.144e+04
   168.8 0.3515 0.9698 2.759e-22 3.156e+04
   169.8 0.3509 0.9695 2.766e-22 3.167e+04
   170.8 0.3503 0.9691 2.774e-22 3.178e+04
   171.8 0.3496 0.9688 2.781e-22 3.190e+04
   172.8 0.3490 0.9685 2.789e-22 3.202e+04
   173.8 0.3483 0.9681 2.796e-22 3.213e+04
   174.8 0.3476 0.9678 2.803e-22 3.225e+04
   175.8 0.3469 0.9674 2.810e-22 3.237e+04
   176.8 0.3462 0.9671 2.817e-22 3.249e+04
   177.8 0.3453 0.9667 2.824e-22 3.261e+04
   178.9 0.3443 0.9664 2.831e-22 3.274e+04
