# lambda albedo      g      Cext         K
   100.0 0.3401 0.9866 2.184e-22 2.639e+04
   100.6 0.3383 0.9864 2.189e-22 2.652e+04
   101.2 0.3366 0.9863 2.194e-22 2.665e+04
   101.7 0.3348 0.9862 2.199e-22 2.678e+04
   102.3 0.3330 0.9860 2.204e-22 2.692e+04
   102.9 0.3312 0.9859 2.209e-22 2.705e+04
   103.5 0.3291 0.9858 2.213e-22 2.718e+04
   104.1 0.3262 0.9857 2.214e-22 2.732e+04
   104.7 0.3232 0.9856 2.215e-22 2.745e+04
   105.3 0.3180 0.9856 2.210e-22 2.760e+04
   105.9 0.3076 0.9859 2.190e-22 2.776e+04
   106.5 0.3062 0.9857 2.196e-22 2.789e+04
   107.2 0.3300 0.9877 1.968e-22 2.414e+04
   107.8 0.3286 0.9875 1.974e-22 2.427e+04
   108.4 0.3395 0.9869 2.015e-22 2.437e+04
   109.0 0.3454 0.9865 2.042e-22 2.448e+04
   109.6 0.3466 0.9862 2.056e-22 2.460e+04
   110.3 0.3476 0.9860 2.070e-22 2.472e+04
   110.9 0.3484 0.9857 2.083e-22 2.485e+04
   111.6 0.3491 0.9854 2.095e-22 2.497e+04
   112.2 0.3495 0.9852 2.107e-22 2.510e+04
   112.8 0.3498 0.9849 2.119e-22 2.522e+04
   113.5 0.3500 0.9846 2.130e-22 2.535e+04
   114.2 0.3501 0.9844 2.141e-22 2.547e+04
   114.8 0.3500 0.9841 2.151e-22 2.560e+04
   115.5 0.3498 0.9839 2.161e-22 2.573e+04
   116.1 0.3495 0.9836 2.171e-22 2.586e+04
   116.8 0.3490 0.9834 2.180e-22 2.598e+04
   117.5 0.3485 0.9831 2.189e-22 2.611e+04
   118.2 0.3479 0.9829 2.198e-22 2.624e+04
   118.9 0.3472 0.9827 2.206e-22 2.637e+04
   119.5 0.3464 0.9825 2.214e-22 2.650e+04
   120.2 0.3455 0.9822 2.222e-22 2.663e+04
   120.9 0.3446 0.9820 2.230e-22 2.676e+04
   121.6 0.3435 0.9818 2.237e-22 2.689e+04
   122.3 0.3425 0.9816 2.244e-22 2.701e+04
   123.0 0.3413 0.9814 2.251e-22 2.714e+04
   123.7 0.3401 0.9811 2.257e-22 2.727e+04
   124.5 0.3388 0.9809 2.263e-22 2.740e+04
   125.2 0.3375 0.9807 2.270e-22 2.753e+04
   125.9 0.3361 0.9805 2.276e-22 2.766e+04
   126.6 0.3346 0.9803 2.282e-22 2.780e+04
   127.4 0.3331 0.9801 2.287e-22 2.793e+04
   128.1 0.3266 0.9803 2.277e-22 2.808e+04
   128.8 0.3358 0.9801 2.265e-22 2.754e+04
   129.6 0.3358 0.9798 2.275e-22 2.766e+04
   130.3 0.3359 0.9795 2.286e-22 2.779e+04
   131.1 0.3353 0.9792 2.294e-22 2.792e+04
   131.8 0.3342 0.9790 2.301e-22 2.805e+04
   132.6 0.3327 0.9788 2.306e-22 2.818e+04
   133.4 0.3309 0.9786 2.311e-22 2.831e+04
   134.1 0.3304 0.9783 2.319e-22 2.843e+04
   134.9 0.3359 0.9786 2.286e-22 2.779e+04
   135.7 0.3364 0.9782 2.297e-22 2.792e+04
   136.5 0.3367 0.9779 2.309e-22 2.804e+04
   137.2 0.3368 0.9775 2.320e-22 2.816e+04
   138.0 0.3368 0.9772 2.330e-22 2.829e+04
   138.8 0.3365 0.9769 2.339e-22 2.841e+04
   139.6 0.3361 0.9766 2.348e-22 2.854e+04
   140.4 0.3357 0.9762 2.357e-22 2.867e+04
   141.3 0.3352 0.9759 2.366e-22 2.879e+04
   142.1 0.3348 0.9756 2.375e-22 2.892e+04
   142.9 0.3343 0.9753 2.383e-22 2.905e+04
   143.7 0.3338 0.9750 2.392e-22 2.918e+04
   144.5 0.3333 0.9747 2.401e-22 2.931e+04
   145.4 0.3327 0.9743 2.409e-22 2.944e+04
   146.2 0.3321 0.9740 2.418e-22 2.957e+04
   147.1 0.3316 0.9737 2.426e-22 2.970e+04
   147.9 0.3310 0.9734 2.435e-22 2.982e+04
   148.8 0.3304 0.9730 2.443e-22 2.995e+04
   149.6 0.3298 0.9727 2.452e-22 3.008e+04
   150.5 0.3292 0.9724 2.460e-22 3.022e+04
   151.4 0.3285 0.9721 2.468e-22 3.035e+04
   152.2 0.3279 0.9717 2.477e-22 3.048e+04
   153.1 0.3272 0.9714 2.485e-22 3.061e+04
   154.0 0.3266 0.9711 2.493e-22 3.074e+04
   154.9 0.3259 0.9707 2.502e-22 3.087e+04
   155.8 0.3253 0.9704 2.510e-22 3.100e+04
   156.7 0.3247 0.9700 2.518e-22 3.113e+04
   157.6 0.3240 0.9697 2.526e-22 3.127e+04
   158.5 0.3234 0.9693 2.535e-22 3.140e+04
   159.4 0.3227 0.9690 2.543e-22 3.153e+04
   160.3 0.3221 0.9686 2.551e-22 3.167e+04
   161.3 0.3214 0.9683 2.560e-22 3.181e+04
   162.2 0.3207 0.9679 2.568e-22 3.194e+04
   163.1 0.3200 0.9675 2.577e-22 3.208e+04
   164.1 0.3193 0.9672 2.585e-22 3.222e+04
   165.0 0.3186 0.9668 2.593e-22 3.236e+04
   166.0 0.3180 0.9664 2.602e-22 3.249e+04
   166.9 0.3173 0.9661 2.611e-22 3.263e+04
   167.9 0.3166 0.9657 2.619e-22 3.277e+04
   168.8 0.3159 0.9653 2.628e-22 3.292e+04
   169.8 0.3152 0.9649 2.637e-22 3.306e+04
   170.8 0.3144 0.9645 2.646e-22 3.321e+04
   171.8 0.3137 0.9641 2.654e-22 3.336e+04
   172.8 0.3129 0.9637 2.663e-22 3.350e+04
   173.8 0.3121 0.9633 2.672e-22 3.365e+04
   174.8 0.3112 0.9630 2.680e-22 3.380e+04
   175.8 0.3104 0.9626 2.689e-22 3.395e+04
   176.8 0.3095 0.9622 2.698e-22 3.411e+04
   177.8 0.3086 0.9618 2.706e-22 3.426e+04
   178.9 0.3075 0.9614 2.715e-22 3.442e+04
   179.9 0.3064 0.9610 2.723e-22 3.458e+04
   180.9 0.3053 0.9607 2.732e-22 3.475e+04
   182.0 0.3042 0.9603 2.740e-22 3.491e+04
   183.0 0.3030 0.9599 2.748e-22 3.508e+04
   184.1 0.3018 0.9595 2.757e-22 3.524e+04
   185.1 0.3006 0.9592 2.765e-22 3.541e+04
   186.2 0.2994 0.9588 2.773e-22 3.558e+04
   187.3 0.2981 0.9584 2.782e-22 3.575e+04
   188.4 0.2961 0.9581 2.788e-22 3.593e+04
   189.5 0.2932 0.9580 2.791e-22 3.612e+04
   190.5 0.2995 0.9593 2.703e-22 3.467e+04
   191.6 0.2998 0.9588 2.715e-22 3.481e+04
   192.8 0.3002 0.9582 2.727e-22 3.494e+04
   193.9 0.3004 0.9576 2.739e-22 3.509e+04
   195.0 0.3007 0.9570 2.751e-22 3.523e+04
   196.1 0.3008 0.9564 2.763e-22 3.538e+04
   197.2 0.3009 0.9558 2.775e-22 3.552e+04
   198.4 0.3009 0.9553 2.787e-22 3.568e+04
   199.5 0.3009 0.9547 2.799e-22 3.583e+04
   200.7 0.3007 0.9541 2.810e-22 3.598e+04
   201.8 0.3006 0.9535 2.822e-22 3.614e+04
   203.0 0.3004 0.9530 2.833e-22 3.630e+04
   204.2 0.3001 0.9524 2.845e-22 3.646e+04
   205.4 0.2998 0.9518 2.856e-22 3.662e+04
   206.5 0.2994 0.9513 2.867e-22 3.678e+04
   207.7 0.2990 0.9507 2.878e-22 3.694e+04
   208.9 0.2985 0.9502 2.889e-22 3.711e+04
   210.1 0.2980 0.9496 2.900e-22 3.728e+04
   211.3 0.2974 0.9490 2.911e-22 3.745e+04
   212.6 0.2968 0.9485 2.922e-22 3.762e+04
   213.8 0.2962 0.9479 2.933e-22 3.780e+04
   215.0 0.2956 0.9474 2.944e-22 3.797e+04
   216.3 0.2949 0.9468 2.955e-22 3.814e+04
   217.5 0.2943 0.9463 2.966e-22 3.832e+04
   218.8 0.2937 0.9457 2.977e-22 3.850e+04
   220.0 0.2930 0.9451 2.988e-22 3.867e+04
   221.3 0.2924 0.9446 2.999e-22 3.885e+04
