# lambda albedo      g      Cext         K
   100.0 0.3444 0.9861 1.729e-22 3.233e+04
   100.6 0.3426 0.9860 1.733e-22 3.249e+04
   101.2 0.3409 0.9859 1.736e-22 3.265e+04
   101.7 0.3391 0.9857 1.740e-22 3.280e+04
   102.3 0.3374 0.9856 1.744e-22 3.296e+04
   102.9 0.3356 0.9854 1.748e-22 3.312e+04
   103.5 0.3335 0.9853 1.750e-22 3.328e+04
   104.1 0.3304 0.9852 1.751e-22 3.344e+04
   104.7 0.3273 0.9852 1.751e-22 3.360e+04
   105.3 0.3215 0.9852 1.745e-22 3.378e+04
   105.9 0.3097 0.9855 1.726e-22 3.398e+04
   106.5 0.3083 0.9853 1.730e-22 3.414e+04
   107.2 0.3308 0.9873 1.520e-22 2.902e+04
   107.8 0.3295 0.9872 1.526e-22 2.918e+04
   108.4 0.3425 0.9865 1.562e-22 2.929e+04
   109.0 0.3499 0.9861 1.586e-22 2.941e+04
   109.6 0.3517 0.9858 1.598e-22 2.956e+04
   110.3 0.3533 0.9855 1.610e-22 2.970e+04
   110.9 0.3547 0.9852 1.621e-22 2.984e+04
   111.6 0.3558 0.9850 1.632e-22 2.999e+04
   112.2 0.3568 0.9847 1.642e-22 3.013e+04
   112.8 0.3576 0.9845 1.652e-22 3.028e+04
   113.5 0.3582 0.9842 1.662e-22 3.042e+04
   114.2 0.3587 0.9839 1.671e-22 3.057e+04
   114.8 0.3590 0.9837 1.680e-22 3.071e+04
   115.5 0.3592 0.9834 1.688e-22 3.086e+04
   116.1 0.3592 0.9832 1.696e-22 3.101e+04
   116.8 0.3591 0.9829 1.704e-22 3.115e+04
   117.5 0.3589 0.9827 1.712e-22 3.130e+04
   118.2 0.3585 0.9825 1.719e-22 3.145e+04
   118.9 0.3581 0.9822 1.725e-22 3.159e+04
   119.5 0.3575 0.9820 1.732e-22 3.174e+04
   120.2 0.3568 0.9818 1.738e-22 3.189e+04
   120.9 0.3561 0.9816 1.744e-22 3.203e+04
   121.6 0.3552 0.9814 1.750e-22 3.218e+04
   122.3 0.3543 0.9811 1.755e-22 3.232e+04
   123.0 0.3533 0.9809 1.760e-22 3.247e+04
   123.7 0.3522 0.9807 1.765e-22 3.261e+04
   124.5 0.3510 0.9805 1.770e-22 3.276e+04
   125.2 0.3498 0.9803 1.774e-22 3.290e+04
